"asin";"name";"rating";"date";"verified";"helpfulVotes"
"B004C7NVD0";"CRAIG";5;"14-May-16";"TRUE";4
"B004C7NVD0";"GADawgFan75";5;"16-Jun-17";"TRUE";2
"B004C7NVD0";"fullmetalmarta";5;"06-May-11";"TRUE";8
"B004C7NVD0";"A. Minton";5;"16-Aug-14";"FALSE";11
"B004C7NVD0";"JR";4;"08-Mar-14";"TRUE";7
"B004C7NVD0";"mehwish bukhari";1;"26-Mar-18";"TRUE";1
"B004C7NVD0";"saw dust maker";4;"09-Jan-15";"TRUE";2
"B004C7NVD0";"charlotte adair";3;"17-Aug-15";"TRUE";1
"B004C7NVD0";"Theodora Titus";1;"15-Feb-15";"TRUE";1
"B004GLQTG8";"Anna Browning";4;"08-May-12";"TRUE";70
"B004GLQTG8";"Adriano's Mom";5;"07-Aug-13";"TRUE";1
"B004GLQTG8";"SweetOctober";4;"02-Jul-13";"TRUE";4
"B004GLQTG8";"Shelly";5;"15-Feb-13";"TRUE";4
"B004GLQTG8";"Tom";5;"13-Apr-13";"TRUE";7
"B004GLQTG8";"justsocool!";5;"30-May-13";"TRUE";5
"B004GLQTG8";"Velia Hernandez";5;"09-Apr-13";"TRUE";4
"B004GLQTG8";"Lois Downy";4;"06-Mar-13";"TRUE";2
"B004GLQTG8";"Tim";5;"18-Feb-15";"TRUE";1
"B004GLQTG8";"tortleandben";5;"23-Jan-12";"TRUE";48
"B004GLQTG8";"Mamaneena";4;"26-Aug-13";"TRUE";1
"B004GLQTG8";"JoeS";4;"23-Feb-13";"TRUE";4
"B004GLQTG8";"Amazon Veteran";5;"15-Dec-13";"TRUE";4
"B004GLQTG8";"Heather";5;"29-May-13";"TRUE";4
"B004GLQTG8";"jd";2;"15-Oct-13";"TRUE";1
"B004GLQTG8";"bryanthelion";5;"20-May-13";"TRUE";2
"B004GLQTG8";"D Johnson";4;"13-Apr-13";"TRUE";2
"B004GLQTG8";"Lyle Bucholzer";5;"07-Feb-14";"TRUE";1
"B004GLQTG8";"QuiteLacy";5;"20-May-12";"TRUE";10
"B004GLQTG8";"Leslie S";5;"03-May-13";"TRUE";2
"B004GLQTG8";"KGirl";5;"04-Apr-13";"TRUE";4
"B004GLQTG8";"Richard Fatur";5;"29-Oct-13";"TRUE";1
"B004GLQTG8";"Ricky Morrow";5;"30-Dec-13";"TRUE";1
"B004GLQTG8";"E. Tonks";5;"02-Mar-13";"TRUE";2
"B004GLQTG8";"paco";5;"12-Jun-13";"TRUE";3
"B004GLQTG8";"kayakers (5)";5;"12-Feb-14";"TRUE";1
"B004GLQTG8";"Leigh";2;"11-Jul-12";"TRUE";5
"B004GLQTG8";"PA";4;"06-May-13";"TRUE";2
"B004GLQTG8";"king paul";5;"07-Dec-12";"TRUE";1
"B004GLQTG8";"Phoneless in San Francisco";1;"06-Oct-13";"TRUE";1
"B004GLQTG8";"brian marquez";3;"14-Jan-13";"TRUE";3
"B004GLQTG8";"tiff";1;"18-Aug-13";"TRUE";2
"B004GLQTG8";"lala49";2;"30-Jun-12";"TRUE";1
"B004GLQTG8";"PATRICK M.";5;"01-Apr-13";"TRUE";11
"B004GLQTG8";"B.R.";5;"28-Mar-12";"TRUE";20
"B004GLQTG8";"MsTerry";5;"31-May-13";"TRUE";2
"B004GLQTG8";"J. Brown";4;"07-Feb-14";"TRUE";1
"B004GLQTG8";"Steve";5;"02-Mar-13";"TRUE";2
"B004GLQTG8";"Amazon Customer";5;"01-Apr-12";"TRUE";26
"B004GLQTG8";"Amazon Customer";5;"05-Jun-13";"TRUE";3
"B004GLQTG8";"J. Walker";5;"21-Mar-12";"TRUE";4
"B004GLQTG8";"REGINA S BENNETT";5;"26-Jan-13";"TRUE";8
"B004GLQTG8";"Michelle H";5;"20-Dec-13";"TRUE";3
"B004GLQTG8";"shellshock905";4;"21-Jul-13";"TRUE";1
"B004GLQTG8";"islandgirl";5;"24-Dec-12";"TRUE";5
"B004GLQTG8";"juli gang";5;"09-Aug-13";"TRUE";3
"B004GLQTG8";"Khadeejah";5;"10-Dec-13";"TRUE";2
"B004GLQTG8";"empierce";5;"13-Apr-13";"TRUE";4
"B004GLQTG8";"Roush Family";5;"07-Nov-13";"TRUE";1
"B004GLQTG8";"JoHanna Terrill";5;"28-May-13";"TRUE";4
"B004GLQTG8";"L. Kimmel";5;"19-Sep-12";"TRUE";4
"B004GLQTG8";"PeapickerinFL";4;"20-Apr-13";"TRUE";2
"B004GLQTG8";"Greg Buck";5;"09-Apr-13";"TRUE";3
"B004GLQTG8";"Jack V.";5;"20-Feb-13";"TRUE";6
"B004GLQTG8";"Maxine";5;"31-Jan-14";"TRUE";1
"B004GLQTG8";"jenn";4;"01-Mar-13";"TRUE";2
"B004GLQTG8";"tuningup";5;"10-Oct-12";"TRUE";13
"B004GLQTG8";"Nick's Mom";5;"03-Jan-14";"TRUE";1
"B004GLQTG8";"l gibb";5;"19-Jun-13";"TRUE";3
"B004GLQTG8";"Joe Thomas";5;"25-Nov-13";"TRUE";1
"B004GLQTG8";"Samuel C. Swenson";4;"05-May-11";"TRUE";71
"B004GLQTG8";"411";5;"14-Jan-13";"TRUE";2
"B004GLQTG8";"motegap";3;"24-Feb-13";"TRUE";1
"B004GLQTG8";"William Viveen";1;"19-Apr-13";"TRUE";9
"B004GLQTG8";"Wally World";5;"26-Apr-13";"TRUE";2
"B004GLQTG8";"Ali g man";4;"26-Oct-12";"TRUE";5
"B004GLQTG8";"dazzling star";1;"08-Jun-14";"TRUE";2
"B004GLQTG8";"HD Rider";1;"02-Aug-13";"TRUE";3
"B004GLQTG8";"Billy";1;"24-Apr-13";"TRUE";2
"B004GLQTG8";"R. Reaves";1;"02-Nov-12";"TRUE";4
